first_name,last_name,full_name,number
Dott.,Nanni,Dott. Nanni Ferrante,3269690639
Gastone,Casini,Gastone Casini,3343260379
Priscilla,Malenchini,Priscilla Malenchini,3104902156
Sig.,Filippo,Sig. Filippo Ferrari,3295402408
Bartolomeo,Ariasso,Bartolomeo Ariasso,3884067849
Raffaello,Boccherini,Raffaello Boccherini,3580330506
Enzo,Caracciolo,Enzo Caracciolo,3244918124
Geronimo,Ceravolo,Geronimo Ceravolo,3663814997
Luigina,Tonisto,Luigina Tonisto,3657464089
Viridiana,Tremonti,Viridiana Tremonti,3620013325
Melina,Terragni,Melina Terragni,3359722926
Ramona,Bernini,Ramona Bernini,3339911597
Alfredo,Simeoni,Alfredo Simeoni,3233318289
Serafina,Rensi,Serafina Rensi,3505753274
Tullio,Sobrero,Tullio Sobrero,3310970237
Ignazio,Salandra,Ignazio Salandra,3766196716
Rita,Tomaselli,Rita Tomaselli,3272555962
Daniele,Ruberto,Daniele Ruberto,3414224162
Livia,Giacometti,Livia Giacometti,3748850384
Amanda,Piovani,Amanda Piovani,3088504949
Sig.ra,Flavia,Sig.ra Flavia Rubbia,3993866389
Antonia,Barzini-Muratori,Antonia Barzini-Muratori,3114733025
Sig.,Gustavo,Sig. Gustavo Tartaglia,3300412448
Ottone,Merisi-Tommaseo,Ottone Merisi-Tommaseo,3380053573
Valeria,Zamorani,Valeria Zamorani,3264401846
Sig.,Lodovico,Sig. Lodovico Durante,3995365519
Marta,Cheda,Marta Cheda,3695558824
Stefano,Tonisto,Stefano Tonisto,3905999483
Raffaella,Foletti-Albertini,Raffaella Foletti-Albertini,3369330833
Pierina,Gradenigo,Pierina Gradenigo,3470287808
Rosario,Lopresti,Rosario Lopresti,3415041326
Giulio,Cattaneo,Giulio Cattaneo,3805772843
Claudio,Geraci,Claudio Geraci,3747697794
Serena,Parini,Serena Parini,3044390847
Licia,Cibin-Lombroso,Licia Cibin-Lombroso,3149896107
Laura,Coardi-Cammarata,Laura Coardi-Cammarata,3831426674
Arnaldo,Lucchesi,Arnaldo Lucchesi,3496617169
Stella,Aporti,Stella Aporti,3711701083
Angelica,Lattuada,Angelica Lattuada,3985825297
Vanessa,Aulenti,Vanessa Aulenti,3934953223
Dott.,Paloma,Dott. Paloma Farinelli,3499787925
Sig.ra,Irma,Sig.ra Irma Franscini,3268349855
Sig.ra,Fernanda,Sig.ra Fernanda Orsini,3002727939
Lucia,Spadafora,Lucia Spadafora,3046380642
Daria,Folliero,Daria Folliero,3064644311
Biagio,Conte,Biagio Conte,3241549340
Lisa,Foscari-Priuli,Lisa Foscari-Priuli,3113427537
Manuel,Berrè-Donà,Manuel Berrè-Donà,3831838984
Susanna,Paolini,Susanna Paolini,3724116295
Adelasia,Romagnoli,Adelasia Romagnoli,3699152541
Amedeo,Florio,Amedeo Florio,3911439857
Dott.,Paolo,Dott. Paolo Castelli,3263842575
Annamaria,Rosselli,Annamaria Rosselli,3965164080
Rosa,Marenzio,Rosa Marenzio,3325575004
Fabia,Capone,Fabia Capone,3000011580
Filippo,Traversa,Filippo Traversa,3506822540
Dolores,Cutuli,Dolores Cutuli,3415788314
Paloma,Gaito,Paloma Gaito,3432608968
Veronica,Tomasetti,Veronica Tomasetti,3289402711
Lorenzo,Cilibrasi,Lorenzo Cilibrasi,3204735172
Sandro,Bassi,Sandro Bassi,3638822670
Elmo,Campise,Elmo Campise,3180252962
Gioachino,Trobbiani,Gioachino Trobbiani,3999180921
Alfio,Maffei-Pulci,Alfio Maffei-Pulci,3687829870
Melania,Finetti-Mattarella,Melania Finetti-Mattarella,3102332016
Dott.,Loredana,Dott. Loredana Cesaroni,3158894896
Daniele,Vanvitelli,Daniele Vanvitelli,3112859411
Corrado,Crisafulli,Corrado Crisafulli,3471288672
Alfio,Ferrucci,Alfio Ferrucci,3929464797
Biagio,Bajardi-Ferraris,Biagio Bajardi-Ferraris,3269283315
Dott.,Giampiero,Dott. Giampiero Bruno,3716861274
Dott.,Etta,Dott. Etta Chechi,3662526382
Sig.,Tullio,Sig. Tullio Ramazzotti,3056982737
Camillo,Oscuro,Camillo Oscuro,3491562484
Pietro,Morandini,Pietro Morandini,3344205602
Toni,Tuzzolino,Toni Tuzzolino,3497288872
Calogero,Lucarelli-Chiaramonte,Calogero Lucarelli-Chiaramonte,3359296227
Gianna,Boito-Borromini,Gianna Boito-Borromini,3906145952
Isa,Salieri,Isa Salieri,3891579335
Daniele,Disdero,Daniele Disdero,3013457125
Graziano,Mengolo,Graziano Mengolo,3288329354
Martino,Squarcione,Martino Squarcione,3514498367
Raffaella,Toso,Raffaella Toso,3985734621
Eugenia,Righi,Eugenia Righi,3526197227
Nedda,Contarini,Nedda Contarini,3039972849
Giovanna,Palazzo,Giovanna Palazzo,3058951367
Zaira,Nitto,Zaira Nitto,3882903150
Victoria,Gemito,Victoria Gemito,3702302181
Piergiuseppe,Pagnotto-Lucciano,Piergiuseppe Pagnotto-Lucciano,3556648442
Olga,Parini-Interiano,Olga Parini-Interiano,3001480546
Marina,Cundari,Marina Cundari,3137441705
Ermes,Parisi-Cicilia,Ermes Parisi-Cicilia,3662788693
Aldo,Treves-Bonolis,Aldo Treves-Bonolis,3606331231
Carlo,Randazzo,Carlo Randazzo,3034827961
Dott.,Livia,Dott. Livia Camiscione,3213397142
Ronaldo,Bazzi,Ronaldo Bazzi,3092365114
Cristina,Montanariello-Cannizzaro,Cristina Montanariello-Cannizzaro,3333347852
Ruggiero,Pinamonte,Ruggiero Pinamonte,3835922991
Ninetta,Burcardo,Ninetta Burcardo,3625684557
Cirillo,Filippini,Cirillo Filippini,3491272857
Ottavio,Viviani-Bernardini,Ottavio Viviani-Bernardini,3040528605
Marcella,Silvestri-Trombetta,Marcella Silvestri-Trombetta,3789999187
Concetta,Papafava,Concetta Papafava,3824478322
Caterina,Contarini,Caterina Contarini,3281397783
Dott.,Antonietta,Dott. Antonietta Nicoletti,3881143383
Emma,Scarponi-Finotto,Emma Scarponi-Finotto,3778228977
Ermes,Garibaldi,Ermes Garibaldi,3383791217
Dott.,Raffaellino,Dott. Raffaellino Barsanti,3564592902
Melina,Leoncavallo,Melina Leoncavallo,3642771281
Alderano,Travia,Alderano Travia,3166274990
Flavio,Trotta,Flavio Trotta,3953002004
Dott.,Ugolino,Dott. Ugolino Bombieri,3260306978
Nadia,Cavalcanti,Nadia Cavalcanti,3936029875
Martino,Bertoni,Martino Bertoni,3487030175
Gabriella,Ferrabosco,Gabriella Ferrabosco,3060970440
Piersanti,Zichichi,Piersanti Zichichi,3572746096
Toni,Rienzo,Toni Rienzo,3489811088
Goffredo,Gualandi,Goffredo Gualandi,3374007172
Azeglio,Manunta,Azeglio Manunta,3903779058
Ippazio,Borromini-Fantozzi,Ippazio Borromini-Fantozzi,3017504746
Ranieri,Majewski,Ranieri Majewski,3163470555
Beatrice,Giradello,Beatrice Giradello,3759986276
Valentina,Morellato,Valentina Morellato,3630012590
Oreste,Pedrazzini,Oreste Pedrazzini,3949841652
Lazzaro,Casaleggio-Antonacci,Lazzaro Casaleggio-Antonacci,3417411117
Raffaello,Panicucci,Raffaello Panicucci,3776063818
Liberto,Cannizzaro,Liberto Cannizzaro,3527269010
Giuliana,Vergerio,Giuliana Vergerio,3009141852
Sig.ra,Serena,Sig.ra Serena Romano,3449993526
Calogero,Dossi-Cignaroli,Calogero Dossi-Cignaroli,3274752508
Sig.ra,Rosina,Sig.ra Rosina Gramsci,3324003851
Giacinto,Udinesi,Giacinto Udinesi,3256859026
Pellegrino,Gaito-Cappelli,Pellegrino Gaito-Cappelli,3313192018
Maria,Simeoni-Sollima,Maria Simeoni-Sollima,3043611684
Dott.,Emma,Dott. Emma Pisano,3442799166
Virginia,Tomaselli,Virginia Tomaselli,3953118937
Alfredo,Viola,Alfredo Viola,3811164522
Dott.,Luciano,Dott. Luciano Padovano,3232781077
Valentina,Aporti,Valentina Aporti,3509999399
Dott.,Lorenzo,Dott. Lorenzo Ferragni,3248096339
Ruggero,Zito,Ruggero Zito,3739613077
Teresa,Majewski,Teresa Majewski,3937628057
Augusto,Pasolini-Fieramosca,Augusto Pasolini-Fieramosca,3501972053
Maria,Cerquiglini-Scialpi,Maria Cerquiglini-Scialpi,3083182515
Sig.,Antonino,Sig. Antonino Caironi,3605699054
Sig.ra,Valeria,Sig.ra Valeria Errani,3189435516
Paolo,Collodi,Paolo Collodi,3740274448
Bartolomeo,Favata,Bartolomeo Favata,3415686543
Caterina,Ficino,Caterina Ficino,3758708262
Rosa,Rossi-Moneta,Rosa Rossi-Moneta,3939948508
Valeria,Porzio,Valeria Porzio,3938370016
Angelica,Manzoni,Angelica Manzoni,3818453534
Berenice,Fiorucci-Mannoia,Berenice Fiorucci-Mannoia,3685158343
Domenico,Argurio,Domenico Argurio,3247787797
Patrizia,Foa-Pergolesi,Patrizia Foa-Pergolesi,3897739549
Rosalia,Modugno,Rosalia Modugno,3304282571
Gianna,Battisti,Gianna Battisti,3061814600
Allegra,Tamburello,Allegra Tamburello,3418635865
Adriano,Regge,Adriano Regge,3356332328
Gianni,Ginese,Gianni Ginese,3782708820
Sig.ra,Irma,Sig.ra Irma Salvini,3244398882
Fernanda,Mastroianni-Agostinelli,Fernanda Mastroianni-Agostinelli,3661369487
Simone,Vigliotti,Simone Vigliotti,3804748811
Sig.ra,Marina,Sig.ra Marina Monte,3298505096
Imelda,Zanzi,Imelda Zanzi,3749811473
Dott.,Angelina,Dott. Angelina Montanariello,3765827886
Benedetto,Padovano,Benedetto Padovano,3278104266
Costantino,Boito,Costantino Boito,3125479535
Ettore,Favata,Ettore Favata,3701151902
Dott.,Rolando,Dott. Rolando Brunelleschi,3032018734
Renzo,Brambilla,Renzo Brambilla,3135134317
Valentina,Travaglio,Valentina Travaglio,3661016961
Donatella,Dallara,Donatella Dallara,3882030333
Francesco,Muratori,Francesco Muratori,3346604377
Dott.,Ugolino,Dott. Ugolino Riccardi,3906396830
Sig.,Guglielmo,Sig. Guglielmo Aldobrandi,3871736180
Salvi,Bernardi,Salvi Bernardi,3768482482
Stella,Persico,Stella Persico,3319334426
Dott.,Morena,Dott. Morena Pugliese,3648263372
Fortunata,Cagnotto,Fortunata Cagnotto,3640915578
Donna,Cortese,Donna Cortese,3052499026
Pompeo,Biagi,Pompeo Biagi,3055044716
Dott.,Amalia,Dott. Amalia Fantozzi,3181032246
Baldassare,Piacentini-Giannotti,Baldassare Piacentini-Giannotti,3339027368
Aria,Cattaneo,Aria Cattaneo,3920028342
Dott.,Augusto,Dott. Augusto Sonnino,3662040060
Gianna,Calarco,Gianna Calarco,3037090215
Paloma,Malacarne-Gasperi,Paloma Malacarne-Gasperi,3284940142
Pompeo,Nordio-Piacentini,Pompeo Nordio-Piacentini,3254473094
Virginia,Morrocco,Virginia Morrocco,3646596750
Sig.,Salvi,Sig. Salvi Foà,3361223822
Sig.,Piergiorgio,Sig. Piergiorgio Toldo,3435540149
Durante,Zola-Trevisan,Durante Zola-Trevisan,3665148560
Alessandra,Rocca-Puccini,Alessandra Rocca-Puccini,3782730026
Giulietta,Altera,Giulietta Altera,3555571916
Tullio,Crisafulli,Tullio Crisafulli,3260802289
Sig.,Pierangelo,Sig. Pierangelo Bosio,3771931468
Ricciotti,Toninelli,Ricciotti Toninelli,3855900879
Sante,Gangemi-Fracci,Sante Gangemi-Fracci,3356765270
Beatrice,Liguori,Beatrice Liguori,3725283025
Stefani,Fuseli,Stefani Fuseli,3890875667
Jacopo,Dossi,Jacopo Dossi,3181181141
Greca,Pacetti,Greca Pacetti,3084007689
Zaira,Pugliese,Zaira Pugliese,3670835955
Alina,Cicala-Schiavone,Alina Cicala-Schiavone,3519726741
Ferdinando,Cortese,Ferdinando Cortese,3434324683
Ida,Rusticucci,Ida Rusticucci,3014185506
Piermaria,Piane,Piermaria Piane,3170158934
Imelda,Vespa,Imelda Vespa,3687278591
Vincenza,Paolini,Vincenza Paolini,3871137970
Dott.,Elena,Dott. Elena Simeoni,3059075236
Baldassare,Petrucci,Baldassare Petrucci,3573158941
Benito,Esposito-Piccinni,Benito Esposito-Piccinni,3356728242
Lilla,Interiano-Pederiva,Lilla Interiano-Pederiva,3464235741
Fausto,Errani,Fausto Errani,3673550835
Marisa,Desio,Marisa Desio,3393712145
Pierpaolo,Argan,Pierpaolo Argan,3496470143
Beatrice,Corcos,Beatrice Corcos,3362148197
Camilla,Toldo,Camilla Toldo,3562104036
Armando,Cutrufo,Armando Cutrufo,3069316815
Donatello,Garrone,Donatello Garrone,3862918742
Simone,Trezzini,Simone Trezzini,3807184369
Diana,Garibaldi-Borromini,Diana Garibaldi-Borromini,3599299457
Anita,Angiolello,Anita Angiolello,3843576243
Martina,Murri,Martina Murri,3695161514
Alderano,Sagese-Mercadante,Alderano Sagese-Mercadante,3653429754
Alphons,Borromini,Alphons Borromini,3497045946
Pina,Cappelli,Pina Cappelli,3623294630
Giuseppe,Cafarchia,Giuseppe Cafarchia,3023265778
Paloma,Ferrara,Paloma Ferrara,3069536467
Gianna,Bottigliero-Modigliani,Gianna Bottigliero-Modigliani,3354330082
Sig.ra,Teresa,Sig.ra Teresa Novaro,3046500774
Gioffre,Donatoni-Ovadia,Gioffre Donatoni-Ovadia,3051395031
Bianca,Gremese,Bianca Gremese,3363733362
Fabrizia,Maglio,Fabrizia Maglio,3771758356
Cecilia,Tropea,Cecilia Tropea,3176432386
Sig.ra,Ilaria,Sig.ra Ilaria Vespa,3753659944
Dott.,Raimondo,Dott. Raimondo Coppola,3659917344
Tina,Manacorda,Tina Manacorda,3066639403
Annunziata,Buonauro,Annunziata Buonauro,3371785046
Licia,Matteotti-Passalacqua,Licia Matteotti-Passalacqua,3422046745
Annetta,Baresi-Zabarella,Annetta Baresi-Zabarella,3680429293
Gaetano,Trobbiani,Gaetano Trobbiani,3834268660
Anita,Marenzio,Anita Marenzio,3467211844
Clelia,Maggioli,Clelia Maggioli,3749282990
Clelia,Balla-Ossola,Clelia Balla-Ossola,3069431080
Dott.,Teresa,Dott. Teresa Mannoia,3837062335
Mario,Grimani,Mario Grimani,3821064356
Nadia,Gigli,Nadia Gigli,3746443510
Gino,Majewski,Gino Majewski,3778625091
Giuliano,Giusti,Giuliano Giusti,3842844573
Roberta,Busoni,Roberta Busoni,3219656369
Ruggero,Zoppetto-Vento,Ruggero Zoppetto-Vento,3667684695
Gemma,Prati-Calarco,Gemma Prati-Calarco,3637129082
Sig.,Donato,Sig. Donato Gucci,3550741990
Cecilia,Venier,Cecilia Venier,3979552361
Elladio,Mezzetta,Elladio Mezzetta,3066053770
Antonina,Ceravolo,Antonina Ceravolo,3270453709
Anita,Bignardi,Anita Bignardi,3594254200
Patrizia,Tafuri,Patrizia Tafuri,3404563689
Pierangelo,Russo,Pierangelo Russo,3833594316
Melina,Scaramucci,Melina Scaramucci,3002029298
Elisa,Tacchini-Casini,Elisa Tacchini-Casini,3009835115
Temistocle,Dossi,Temistocle Dossi,3396406579
Sig.,Piergiorgio,Sig. Piergiorgio Zola,3170519162
Dott.,Milo,Dott. Milo Rizzo,3730337290
Gustavo,Pedroni,Gustavo Pedroni,3596932196
Antonello,Orsini,Antonello Orsini,3878177076
Susanna,Nadi-Manzoni,Susanna Nadi-Manzoni,3573961768
Dott.,Alessio,Dott. Alessio Villadicani,3108805085
Laura,Abatantuono-Raurica,Laura Abatantuono-Raurica,3151554851
Caterina,Ferrara,Caterina Ferrara,3819467184
Pomponio,Bulzoni,Pomponio Bulzoni,3653881945
Paulina,Acerbi,Paulina Acerbi,3673743780
Fredo,Capuana,Fredo Capuana,3771623134
Roberta,Padovano,Roberta Padovano,3821275122
Marissa,Golino-Pavone,Marissa Golino-Pavone,3436888201
Laura,Petrassi,Laura Petrassi,3735098036
Valeria,Riccati,Valeria Riccati,3920261171
Patrizia,Bergoglio,Patrizia Bergoglio,3961140276
Gemma,Piovani,Gemma Piovani,3960897829
Etta,Gagliano,Etta Gagliano,3913366963
Baccio,Argenti,Baccio Argenti,3351361711
Antonina,Strangio,Antonina Strangio,3790039057
Anita,Pratesi,Anita Pratesi,3703615574
Rosa,Taliercio,Rosa Taliercio,3557734825
Rosaria,Trapani,Rosaria Trapani,3078830914
Gianpaolo,Cundari,Gianpaolo Cundari,3948219301
Sig.ra,Stefani,Sig.ra Stefani Botticelli,3678452420
Federigo,Borsellino,Federigo Borsellino,3870779720
Margherita,Collina,Margherita Collina,3261419893
Sig.,Massimiliano,Sig. Massimiliano Balbo,3265611656
Maria,Trillini,Maria Trillini,3642691052
Dott.,Calcedonio,Dott. Calcedonio Scalfaro,3077145114
Dott.,Alderano,Dott. Alderano Papetti,3142101976
Greca,Montanari,Greca Montanari,3086894794
Flavia,Modiano-Nicolini,Flavia Modiano-Nicolini,3253436330
Silvestro,Gentilini-Dulbecco,Silvestro Gentilini-Dulbecco,3489083203
Fortunata,Cortese,Fortunata Cortese,3043310672
Annunziata,Nicolucci,Annunziata Nicolucci,3766528617
Melissa,Crisafulli,Melissa Crisafulli,3408240731
Sig.,Jacopo,Sig. Jacopo Spallanzani,3061362091
Dott.,Fredo,Dott. Fredo Benussi,3423522480
Stefani,Tornatore,Stefani Tornatore,3059151355
Concetta,Asmundo,Concetta Asmundo,3746890721
Domenico,Corcos,Domenico Corcos,3073924620
Tonino,Carnera,Tonino Carnera,3612720177
Flavia,Botta,Flavia Botta,3656448203
Daria,Valmarana,Daria Valmarana,3553530817
Rodolfo,Grossi-Agostinelli,Rodolfo Grossi-Agostinelli,3187523092
Lilla,Pacillo-Fischetti,Lilla Pacillo-Fischetti,3442477300
Ilaria,Zoppetti,Ilaria Zoppetti,3372544937
Ruggiero,Pedrazzini,Ruggiero Pedrazzini,3925239812
Annamaria,Carducci,Annamaria Carducci,3431562624
Mario,Faggiani,Mario Faggiani,3645768666
Sig.ra,Giovanna,Sig.ra Giovanna Greco,3217719618
Stefania,Catalano,Stefania Catalano,3464625158
Sig.ra,Simonetta,Sig.ra Simonetta Sagese,3379259059
Donato,Sibilia,Donato Sibilia,3398583773
Sabatino,Gentileschi,Sabatino Gentileschi,3259071830
Dott.,Toni,Dott. Toni Cuda,3077552507
Maria,Bocelli,Maria Bocelli,3102027139
Ivo,Tanzini,Ivo Tanzini,3131735006
Ludovico,Saffi,Ludovico Saffi,3324069408
Orlando,Gonzaga,Orlando Gonzaga,3205162065
Romina,Bellò,Romina Bellò,3101363863
Fabrizio,Tosto,Fabrizio Tosto,3446952845
Gioacchino,Monduzzi-Trussardi,Gioacchino Monduzzi-Trussardi,3292507015
Dott.,Dina,Dott. Dina Marrone,3285019414
Fabio,Ungaretti,Fabio Ungaretti,3432462167
Sophia,Ziani,Sophia Ziani,3622933919
Lauretta,Manolesso,Lauretta Manolesso,3666380447
Sonia,Manunta-Mazzacurati,Sonia Manunta-Mazzacurati,3952185527
Roberta,Garzoni,Roberta Garzoni,3494746675
Dott.,Viridiana,Dott. Viridiana Vercelloni,3928930330
Evangelista,Cicala,Evangelista Cicala,3654344198
Nedda,Lucchesi,Nedda Lucchesi,3264148498
Guglielmo,Benedetti,Guglielmo Benedetti,3086534991
Sig.,Jacopo,Sig. Jacopo Morlacchi,3174712961
Antonina,Saffi,Antonina Saffi,3722422633
Silvia,Cuda-Biagiotti,Silvia Cuda-Biagiotti,3233536885
Dott.,Adelmo,Dott. Adelmo Sismondi,3940310287
Vincenzo,Sorrentino,Vincenzo Sorrentino,3788498920
Dott.,Salvatore,Dott. Salvatore Pezzali,3447310943
Adriana,Ruggieri,Adriana Ruggieri,3652480299
Matteo,Orengo,Matteo Orengo,3429101401
Rosario,Serao,Rosario Serao,3761775611
Greco,Camiscione-Soderini,Greco Camiscione-Soderini,3761584126
Pellegrino,Fagotto-Bruscantini,Pellegrino Fagotto-Bruscantini,3527106895
Gastone,Tanzini,Gastone Tanzini,3687151281
Elmo,Brenna-Troisi,Elmo Brenna-Troisi,3058789362
Adelasia,Bazzi,Adelasia Bazzi,3031560160
Rosa,Porcellato,Rosa Porcellato,3685715658
Claudio,Bignami-Giannetti,Claudio Bignami-Giannetti,3741907389
Salvatore,Eco-Duodo,Salvatore Eco-Duodo,3152109348
Eugenia,Tacchini-Emanuelli,Eugenia Tacchini-Emanuelli,3994409144
Dott.,Marco,Dott. Marco Monaco,3861153303
Dott.,Pasqual,Dott. Pasqual Casini,3855734814
Rossana,Combi,Rossana Combi,3039198774
Rosina,Trombetta,Rosina Trombetta,3820585135
Livia,Bertoni,Livia Bertoni,3465796988
Umberto,Errigo-Sommaruga,Umberto Errigo-Sommaruga,3592974208
Federica,Tonisto,Federica Tonisto,3451227417
Leonardo,Roth,Leonardo Roth,3833342718
Arsenio,Benigni,Arsenio Benigni,3933892798
Luigi,Dovara,Luigi Dovara,3658477943
Etta,Alboni,Etta Alboni,3099224416
Sig.ra,Viridiana,Sig.ra Viridiana Dandolo,3790783685
Antonia,Bulzoni,Antonia Bulzoni,3780885377
Donatella,Abate,Donatella Abate,3191632331
Elena,Casagrande,Elena Casagrande,3109108614
Lilla,Emanuelli,Lilla Emanuelli,3116777827
Piero,Ortese,Piero Ortese,3281445213
Dott.,Puccio,Dott. Puccio Salata,3651286291
Giacobbe,Bossi,Giacobbe Bossi,3191970772
Lidia,Orlando,Lidia Orlando,3521408145
Arnulfo,Fioravanti-Ponti,Arnulfo Fioravanti-Ponti,3376579544
Sig.ra,Maria,Sig.ra Maria Camilleri,3604954681
Dott.,Corrado,Dott. Corrado Giacconi,3223518905
Rosa,Geraci,Rosa Geraci,3626015702
Angelina,Zaguri,Angelina Zaguri,3565056675
Chiara,Rubbia,Chiara Rubbia,3216810372
Dott.,Valeria,Dott. Valeria Mocenigo,3755228064
Sig.ra,Mercedes,Sig.ra Mercedes Travaglia,3120425371
Sig.,Mario,Sig. Mario Scarpa,3469583371
Virginia,Ferragamo,Virginia Ferragamo,3120092137
Piero,Vismara,Piero Vismara,3821120962
Lidia,Rastelli-Falier,Lidia Rastelli-Falier,3271409183
Sig.,Bernardo,Sig. Bernardo Scialpi,3387170357
Federica,Ostinelli,Federica Ostinelli,3014462663
Sandra,Calgari,Sandra Calgari,3154729703
Ezio,Luzi,Ezio Luzi,3969563324
Letizia,Zoppetti,Letizia Zoppetti,3059870015
Sophia,Pacomio,Sophia Pacomio,3486810833
Sig.ra,Letizia,Sig.ra Letizia Paolini,3802325069
Daria,Ovadia,Daria Ovadia,3904445895
Gianpietro,Casalodi,Gianpietro Casalodi,3266666808
Dott.,Alfredo,Dott. Alfredo Morricone,3449125023
Sig.ra,Angelica,Sig.ra Angelica Santorio,3113760926
Gioele,Botta,Gioele Botta,3516676045
Alberto,Zacco,Alberto Zacco,3775766805
Dott.,Donatello,Dott. Donatello Gravina,3805845272
Raffaellino,Puccini-Anichini,Raffaellino Puccini-Anichini,3648924087
Dott.,Fernanda,Dott. Fernanda Ginesio,3988976739
Bartolomeo,Tasso,Bartolomeo Tasso,3865503383
Dott.,Hugo,Dott. Hugo Puccini,3752858965
Lamberto,Antonello-Maderna,Lamberto Antonello-Maderna,3235155985
Nedda,Mimun,Nedda Mimun,3843347515
Carmelo,Carosone,Carmelo Carosone,3911290843
Ilaria,Vergassola,Ilaria Vergassola,3050370620
Natalia,Malenchini,Natalia Malenchini,3925561355
Cipriano,Sagredo,Cipriano Sagredo,3258782646
Daniele,Nosiglia,Daniele Nosiglia,3562547940
Marissa,Borzomì-Ricciardi,Marissa Borzomì-Ricciardi,3941586762
Adelmo,Adinolfi,Adelmo Adinolfi,3720248207
Sig.,Pellegrino,Sig. Pellegrino Piacentini,3029460549
Sig.,Antonino,Sig. Antonino Rinaldi,3517992014
Ninetta,Forza,Ninetta Forza,3228110844
Claudio,Turati,Claudio Turati,3451823359
Maria,Ruffini,Maria Ruffini,3290359932
Ludovico,Armellini-Sagnelli,Ludovico Armellini-Sagnelli,3887409378
Annetta,Bocca,Annetta Bocca,3623974243
Dott.,Gian,Dott. Gian Carriera,3849028830
Gabriele,Storladi,Gabriele Storladi,3210036729
Berenice,Pizzo,Berenice Pizzo,3789279639
Victoria,Pelli,Victoria Pelli,3233375810
Benedetto,Zacchia,Benedetto Zacchia,3538686599
Sig.,Filippo,Sig. Filippo Vespa,3550107804
Allegra,Foconi,Allegra Foconi,3201587444
Vincenza,Interminei-Fanucci,Vincenza Interminei-Fanucci,3195598526
Sig.ra,Graziella,Sig.ra Graziella Ossani,3964830238
Barbara,Morucci,Barbara Morucci,3185785923
Adelasia,Gualtieri,Adelasia Gualtieri,3059858458
Giuseppina,Stein,Giuseppina Stein,3556577780
Dott.,Jolanda,Dott. Jolanda Prati,3797079865
Dott.,Romeo,Dott. Romeo Gasperi,3311280180
Dott.,Giacinto,Dott. Giacinto Rismondo,3995358434
Cesare,Niggli,Cesare Niggli,3110121278
Laureano,Villarosa,Laureano Villarosa,3693270664
Sandro,Missoni-Roth,Sandro Missoni-Roth,3089548621
Raffaella,Pavarotti,Raffaella Pavarotti,3810915449
Dott.,Piersanti,Dott. Piersanti Boccaccio,3996963058
Ennio,Majewski,Ennio Majewski,3688910009
Bianca,Raimondi-Gagliardi,Bianca Raimondi-Gagliardi,3534517997
Iolanda,Grifeo,Iolanda Grifeo,3859680527
Sig.ra,Carla,Sig.ra Carla Draghi,3301471485
Bianca,Nolcini,Bianca Nolcini,3672524498
Livio,Ceri,Livio Ceri,3537031182
Francesco,Corradi,Francesco Corradi,3086653619
Gaetano,Mondaini,Gaetano Mondaini,3425548171
Fortunata,Mazzini-Cutrufo,Fortunata Mazzini-Cutrufo,3273676719
Dott.,Adelmo,Dott. Adelmo Ziani,3306460846
Giancarlo,Torricelli,Giancarlo Torricelli,3346948485
Flora,Nadi,Flora Nadi,3712581685
Paloma,Curiel,Paloma Curiel,3941528766
Gianluca,Petralli,Gianluca Petralli,3874664424
Annibale,Paganini,Annibale Paganini,3749308364
Beatrice,Guicciardini-Mondaini,Beatrice Guicciardini-Mondaini,3272912522
Dott.,Imelda,Dott. Imelda Monte,3547923552
Lucia,Montecchi,Lucia Montecchi,3406979800
Alberto,Bombieri,Alberto Bombieri,3158871377
Dott.,Imelda,Dott. Imelda Fabrizi,3457895283
Gioele,Zarlino-Tiepolo,Gioele Zarlino-Tiepolo,3793518113
Temistocle,Castelli,Temistocle Castelli,3156928973
Dott.,Matilda,Dott. Matilda Gentili,3280717680
Roberta,Nicolini,Roberta Nicolini,3186483050
Dionigi,Donati,Dionigi Donati,3246571420
Sig.,Giorgio,Sig. Giorgio Giovine,3430090428
Pietro,Gabba-Montanelli,Pietro Gabba-Montanelli,3342929537
Baldassare,Majewski,Baldassare Majewski,3817252660
Sante,Carli,Sante Carli,3862583365
Massimo,Modigliani,Massimo Modigliani,3591264259
Lara,Mazzocchi-Rossellini,Lara Mazzocchi-Rossellini,3352729606
Achille,Sraffa,Achille Sraffa,3835701186
Camilla,Manzoni-Sagredo,Camilla Manzoni-Sagredo,3600879855
Rodolfo,Mercantini,Rodolfo Mercantini,3141997314
Gianluigi,Dossi,Gianluigi Dossi,3119752328
Sig.ra,Cristina,Sig.ra Cristina Parmitano,3846585557
Valentina,Antonioni,Valentina Antonioni,3623736661
Benito,Biagiotti,Benito Biagiotti,3820302319
Isa,Gentili,Isa Gentili,3411340387
Fortunata,Ariasso-Versace,Fortunata Ariasso-Versace,3052396813
Baldassare,Cremonesi,Baldassare Cremonesi,3268216928
Rosa,Matteotti,Rosa Matteotti,3262377052
Paola,Marini,Paola Marini,3604461797
Antonina,Tamburini,Antonina Tamburini,3196934109
Sergius,Detti,Sergius Detti,3512662328
Ermenegildo,Agnesi-Sgalambro,Ermenegildo Agnesi-Sgalambro,3401962895
Sig.ra,Lolita,Sig.ra Lolita Gasperi,3373566394
Durante,Guariento,Durante Guariento,3800271865
